TestMap_001_nav
1594214250
92bcba6d5042bb7ebe919d985d81dffb
92bcba6d5042bb7ebe919d985d81dffb
bound:3038,2441;98202,99141
nodes:275
0;1;30049,18427,43339;31032,17928,43532;29688,18611,43088;29428,18742,43397
1;1;30236,18295,42876;31032,17928,43532;29989,18345,42007;29688,18611,43088
2;1;30067,18453,43580;29741,18688,43811;31032,17928,43532;29428,18742,43397
3;1;30792,18028,42983;31356,17810,43410;29989,18345,42007;31032,17928,43532
4;1;4954,19771,67595;4688,19846,67305;3925,19706,67988;6250,19762,67492
5;1;28205,20044,92654;28434,20011,92497;28528,20015,92187;27654,20106,93279
6;1;27954,19965,91509;27681,19774,89062;27654,20106,93279;28528,20015,92187
7;1;28549,18825,40680;28254,18926,40625;28342,18900,40740;29050,18648,40675
8;1;28310,18864,40367;29050,18648,40675;27626,19017,39802;28254,18926,40625
9;1;29270,18763,36917;31135,18624,30274;27626,19017,39802;29050,18648,40675
10;1;30948,18361,37981;31135,18624,30274;29050,18648,40675;32659,17810,42993
11;1;31022,18089,42359;32659,17810,42993;29050,18648,40675;31356,17810,43410
12;1;30132,18268,42031;31356,17810,43410;29050,18648,40675;29989,18345,42007
13;1;28634,18921,36572;31135,18624,30274;27141,19121,39641;27626,19017,39802
14;1;26879,19272,37367;31135,18624,30274;22360,20070,42187;27141,19121,39641
15;1;25354,19573,40647;27141,19121,39641;22360,20070,42187;26562,19529,40113
16;1;25052,19853,41041;26562,19529,40113;22360,20070,42187;26235,19960,40823
17;1;24834,20055,41514;26235,19960,40823;22360,20070,42187;25907,20135,41532
18;1;24705,20072,42205;25907,20135,41532;22360,20070,42187;25847,20010,42896
19;1;25358,19162,36133;22578,18793,35937;22360,20070,42187;31135,18624,30274
20;1;27552,18717,31033;22578,18793,35937;31135,18624,30274;28942,18733,26888
21;1;24700,18753,32635;22578,18793,35937;28942,18733,26888;22581,18733,35081
22;1;24551,18733,31571;22581,18733,35081;28942,18733,26888;22130,18733,32745
23;1;23795,18733,30025;28942,18733,26888;20313,18733,30441;22130,18733,32745
24;1;26451,18733,26773;30098,18733,22991;20313,18733,30441;28942,18733,26888
25;1;22955,18834,27326;30098,18733,22991;18455,19035,28545;20313,18733,30441
26;1;25820,18842,17992;28906,18759,2441;18455,19035,28545;30098,18733,22991
27;1;30683,18742,14468;28906,18759,2441;30098,18733,22991;33045,18733,17971
28;1;31403,18736,20884;33045,18733,17971;30098,18733,22991;31066,18741,21691
